,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model
602,2015,750000,45974,1,2,0,0,0,15
603,2012,229999,49824,0,0,0,0,1,27
604,2013,1300000,58500,1,0,1,0,9,99
605,2005,80000,56580,0,0,0,0,1,29
606,2012,385000,52000,1,0,0,0,10,110
607,2015,760000,55340,0,2,0,0,1,23
608,2017,600000,46507,1,2,0,0,0,7
609,2013,450000,1000,1,0,0,1,15,151
610,2018,3800000,10000,1,0,1,0,8,94
611,2013,1580000,86000,1,0,1,0,9,102
612,2019,4950000,30000,1,0,1,0,18,117
613,2016,535000,52600,1,1,0,0,1,25
614,2012,225000,110000,0,1,0,1,0,10
615,2017,550000,19890,0,0,1,0,1,30
616,2016,670000,7104,0,2,0,0,0,7
617,2015,625000,11918,0,2,0,0,0,11
618,2017,520000,10510,0,0,1,0,1,30
619,2016,239000,41000,0,0,0,0,5,75
620,2017,2600000,47162,1,2,1,0,6,84
621,2015,750000,45974,1,2,0,0,0,15
622,2012,229999,49824,0,0,0,0,1,27
623,2013,1300000,58500,1,0,1,0,9,99
624,2005,80000,56580,0,0,0,0,1,29
625,2012,385000,52000,1,0,0,0,10,110
626,2015,760000,55340,0,2,0,0,1,23
627,2017,600000,46507,1,2,0,0,0,7
628,2013,350000,50000,0,1,0,1,1,31
629,2014,114999,30000,0,1,0,0,0,3
630,2013,380000,50000,0,1,0,1,1,31
631,1995,95000,100000,0,1,0,1,0,19
632,2016,900000,35000,1,1,0,0,12,118
633,2012,200999,90000,0,1,0,1,5,75
634,2014,229999,11451,0,1,0,0,0,9
635,2019,800000,60000,1,1,0,0,4,57
636,2012,150000,172000,1,1,0,1,12,130
637,2018,600000,60000,1,1,0,0,0,7
638,2005,150000,150000,1,1,0,0,5,74
639,2009,150000,66000,1,1,0,0,5,78
640,2019,380000,5000,0,1,0,0,0,8
641,2006,80000,66508,0,1,0,1,0,7
642,2007,225000,55000,0,1,0,1,3,43
643,2012,75000,29900,0,1,0,0,4,55
644,2017,1600000,3000,1,1,0,0,4,64
645,2012,185000,85000,1,1,0,0,4,54
646,2011,425000,50000,1,1,0,0,12,118
647,2010,100000,120000,1,1,0,1,4,54
648,2008,140000,90000,0,1,0,2,0,12
649,2017,710000,8000,0,1,1,0,0,7
650,2015,450000,7900,0,1,1,0,3,41
651,2017,210000,50000,0,1,0,0,2,39
652,2016,270000,25000,0,1,0,0,0,3
653,2009,110000,20000,0,1,0,0,0,3
654,2018,540000,17500,0,1,0,0,0,7
655,2008,145000,25000,0,1,0,0,12,125
656,2013,360000,206500,1,1,0,0,4,62
657,2013,250000,88600,3,1,0,0,1,27
658,2012,110000,80000,1,1,0,0,4,65
659,2008,250000,100000,1,1,0,3,5,79
660,2011,150000,186000,1,1,0,1,13,137
661,2010,140000,60000,0,1,0,0,5,80
662,2019,925000,11000,0,1,0,0,0,5
663,2017,969999,30000,1,1,0,0,4,64
664,2007,90000,80000,2,1,0,2,1,29
665,2001,55000,60000,0,1,0,2,1,29
666,2007,155000,100000,1,1,0,3,1,23
667,2019,900000,15000,1,1,0,0,12,131
668,2011,135000,90000,0,1,0,0,0,3
669,2012,180000,120000,0,1,0,0,0,1
670,2013,495000,100000,1,1,0,1,1,23
671,2009,400000,138000,1,1,0,2,6,82
672,2008,250000,110000,1,1,0,1,1,23
673,2015,138000,120000,0,1,0,3,0,3
674,2011,311000,70000,0,1,1,1,3,42
675,2015,190000,70000,0,1,0,0,0,3
676,2011,311000,140000,1,1,0,0,12,121
677,2009,300000,15000,0,1,0,0,0,17
678,2018,600000,20000,0,1,0,0,3,46
679,2009,550000,100000,1,1,0,0,12,118
680,2015,600000,70000,0,1,1,0,10,107
681,2018,195000,5000,0,1,0,0,0,3
682,2013,58000,27974,0,1,0,0,4,55
683,2018,183000,40000,0,1,0,0,0,3
684,2007,95000,80000,0,1,0,0,0,12
685,2013,250000,38000,0,1,0,0,0,2
686,2013,250000,38000,0,1,0,0,0,2
687,2014,400000,35000,0,1,0,0,4,58
688,2012,409999,60000,1,1,0,1,1,23
689,2004,120000,120000,1,1,0,1,10,111
690,2018,600000,18000,0,1,1,0,0,7
691,2016,600000,10000,0,1,0,0,3,41
692,2015,825000,90000,1,1,0,2,12,120
693,2016,625000,80000,1,1,0,1,6,83
694,2020,700000,1400,1,1,0,0,1,30
695,2011,160000,60000,0,1,0,0,5,75
696,2011,114999,60000,0,1,0,2,0,3
697,2009,150000,53000,0,1,0,0,0,2
698,2010,250000,100000,1,0,0,0,17,166
699,2012,390000,86000,1,0,0,1,1,23
700,2015,650000,100000,1,1,0,0,15,151
701,2016,600000,30000,1,1,0,0,1,24
702,2011,250000,120000,0,1,0,0,1,31
703,2011,229999,60000,3,1,0,1,1,29
704,2016,299000,50000,1,1,0,1,0,17
705,2010,330000,124000,1,1,0,1,5,76
706,2012,180000,100000,0,1,0,2,1,37
707,2017,475000,42000,0,1,0,0,1,30
708,2015,325000,100000,1,1,0,0,1,30
709,2016,639000,28205,0,0,0,0,3,42
710,2017,415000,32670,0,0,1,0,0,4
711,2016,1199000,30093,1,0,1,0,1,25
712,2013,525000,56228,2,0,0,0,0,11
713,2013,425000,59319,0,0,0,0,1,23
714,2016,699000,39503,1,0,0,0,0,6
715,2013,325000,35299,0,0,0,0,1,30
716,2011,275000,51687,0,0,0,0,6,83
717,2011,269000,76259,0,0,1,0,17,167
718,2013,399000,44049,1,0,0,0,17,169
719,2017,475000,45087,1,0,0,0,12,128
720,2011,249000,41125,0,0,0,0,6,83
721,2014,1549000,42215,1,0,1,0,9,102
722,2011,254999,54206,0,0,0,0,17,169
723,2012,269000,52547,0,0,0,0,10,107
724,2014,665000,59110,1,0,0,0,0,11
725,2014,299000,54565,0,0,0,0,0,2
726,2010,265000,47564,0,0,0,1,1,31
727,2010,211000,45143,0,0,0,1,17,169
728,2013,599000,61624,0,0,1,1,10,106
729,2007,55000,195000,1,1,0,2,4,52
730,2014,550000,50000,1,1,0,0,1,23
731,2018,4000000,68000,1,1,1,0,21,178
732,2010,220000,120000,1,1,0,1,4,59
733,2019,500000,20000,0,1,0,0,0,7
734,2010,140000,30000,0,1,0,0,0,3
735,2013,325000,60000,1,1,0,0,0,7
736,2010,210000,90000,0,1,0,2,1,31
737,2008,110000,90000,0,1,0,1,0,3
738,2019,1200000,25000,1,1,0,0,1,23
739,2017,229999,40000,0,1,0,0,0,3
740,2012,225000,110000,0,1,0,1,0,10
741,2006,165000,132000,0,1,0,0,0,3
742,2018,525000,10980,0,0,1,0,4,60
743,2018,325000,20629,0,0,0,0,1,32
744,2018,1500000,50000,1,1,0,0,6,82
745,2015,400000,30000,0,1,1,0,1,30
746,2015,550000,69782,0,0,0,0,0,5
747,2003,98000,54000,0,1,0,0,0,1
748,2013,900000,63654,1,0,0,0,12,120
749,2017,700000,60000,1,1,0,0,15,155
750,2015,890000,52000,1,0,0,0,12,118
751,2015,490000,59385,1,0,0,0,0,7
752,2015,525000,70378,0,0,0,0,1,31
753,2013,330000,55425,0,0,0,0,0,2
754,2013,550000,78413,1,0,0,1,12,121
755,2018,790000,40890,1,0,0,0,12,121
756,2015,350000,34823,0,0,0,1,3,44
757,2017,1700000,75000,1,1,1,0,6,82
758,2017,750000,55545,1,0,0,0,0,5
759,2014,409999,56541,1,0,0,0,3,41
760,2016,220000,43700,0,1,0,0,1,32
761,2009,68000,120000,0,1,0,1,4,54
762,2017,290000,20000,0,1,0,0,1,32
763,2014,600000,27483,1,0,0,0,3,42
764,2019,470000,8000,0,1,0,0,0,7
765,2008,150000,30000,0,1,0,0,1,27
766,2014,180000,56207,0,0,0,1,0,3
767,2006,80000,70000,0,1,0,0,0,12
768,2018,875000,1440,0,1,0,0,3,49
769,2019,300000,50000,0,1,0,0,0,3
770,2017,2800000,20000,1,1,1,0,6,84
771,2017,1330000,91195,1,0,0,0,6,82
772,2011,220000,63657,1,0,0,0,17,169
773,2013,250000,60000,1,1,0,0,12,130
774,2016,919999,75000,1,0,0,0,6,82
775,2013,380000,97248,0,0,0,0,17,167
776,2012,450000,46000,1,1,0,0,0,7
777,2016,770000,10000,0,1,1,0,1,23
778,2018,550000,80000,1,1,0,0,0,7
779,2011,320000,100000,1,1,0,1,4,63
780,2013,400000,35000,0,1,0,0,0,10
781,2017,450000,50000,0,1,1,0,0,4
782,2011,220000,90000,1,1,0,2,0,10
783,2012,400000,150000,1,1,0,1,12,120
784,2013,530000,89000,0,1,0,1,1,23
785,2014,390000,60000,1,1,0,1,0,7
786,2012,185000,100000,1,1,0,1,16,163
787,2012,300000,100000,0,1,0,1,0,10
788,2014,575000,90000,1,1,0,1,0,7
789,2014,300000,75000,0,1,0,0,0,2
790,2017,425000,36000,1,0,0,0,6,83
791,2016,350000,12000,0,1,0,0,1,24
792,2017,550000,12997,1,0,0,0,3,41
793,2017,500000,40000,0,1,1,0,0,5
794,2015,600000,60000,1,1,0,0,12,118
795,2013,300000,25000,1,1,0,1,12,123
796,2018,1150000,26430,1,0,0,0,1,23
797,2015,475000,24600,0,0,0,0,0,7
798,2011,260000,28481,0,0,0,0,0,2
799,2013,350000,100000,0,1,0,0,13,140
800,2013,750000,41988,1,0,0,0,12,120
801,2009,180000,30375,0,0,0,0,0,2
802,2017,350000,7658,0,0,1,0,15,152
803,2017,611000,34400,1,0,0,0,0,7
804,2017,325000,18500,0,0,0,0,15,152
805,2012,225000,48000,0,0,0,0,1,32
806,2014,300000,28942,0,0,1,0,0,2
807,2017,400000,50000,1,1,0,1,12,121
808,2012,711000,53600,1,0,0,0,12,120
809,2015,851000,53652,1,0,0,0,6,82
810,2014,500000,25000,0,1,0,0,0,11
811,2007,250000,80000,1,1,0,1,6,82
812,2017,150000,50000,0,1,0,0,0,3
813,2016,610000,15000,1,1,0,1,12,118
814,2018,450000,5000,0,1,0,0,12,128
815,2017,744000,106000,1,1,0,0,1,31
816,2008,120000,100000,0,1,0,2,5,77
817,2016,220000,60000,0,1,0,2,15,152
818,2012,480000,120000,1,1,0,3,0,11
819,2017,370000,82000,0,1,1,0,0,4
820,2003,55000,35000,1,1,0,1,16,164
821,2013,125000,205000,0,1,0,0,1,32
822,2011,260000,125000,1,1,0,2,1,23
823,2015,350000,130000,1,1,0,0,16,161
824,2012,170000,97000,2,1,0,1,0,3
825,2015,350000,90000,0,1,0,1,1,30
826,2009,250000,60000,0,1,0,2,0,7
827,2013,170000,60000,1,1,0,0,4,52
828,2018,1300000,35000,1,1,0,0,12,118
829,2019,550000,25000,0,1,0,0,1,30
830,2017,400000,15000,0,1,0,0,3,44
831,2011,120000,20000,0,1,0,0,4,55
832,2011,120000,20000,0,1,0,0,4,55
833,2010,275000,70000,0,1,0,0,13,136
834,2016,285000,90000,0,1,0,0,4,58
835,2016,900000,80000,1,1,0,0,1,25
836,2014,2500000,79500,1,1,1,1,8,95
837,2013,620000,70000,1,1,0,1,1,23
838,2018,1700000,5000,1,1,0,0,6,82
839,2018,650000,15000,0,1,0,0,13,136
840,2014,500000,35000,0,1,0,0,0,11
841,2009,250000,120000,1,1,0,1,4,63
842,2018,950000,15000,1,1,0,1,12,126
843,2015,320000,60000,0,1,0,0,6,83
844,2013,450000,120000,1,1,0,0,15,151
845,2016,350000,90000,1,1,0,0,12,128
846,2015,400000,90000,0,1,0,0,0,7
847,2018,200000,10000,0,1,0,0,0,9
848,2009,250000,72000,1,1,0,1,1,31
849,2011,550000,197000,0,1,0,1,6,82
850,1999,85000,70000,0,1,0,1,0,12
851,2001,52000,50000,0,1,0,2,1,29
852,2017,1200000,50000,1,1,1,0,4,64
853,2011,450000,60000,0,1,1,2,1,23
854,2018,615000,40000,0,1,0,0,0,7
855,2012,400000,60000,1,1,0,1,0,10
856,2013,60000,40000,0,1,0,0,4,55
857,2017,500000,9161,0,1,0,0,0,20
858,2015,600000,45000,0,1,0,0,3,45
859,2010,110000,110000,0,1,0,0,1,33
860,2013,175000,80000,0,1,0,0,1,29
861,2011,325000,100000,1,1,0,1,13,137
862,2017,425000,90000,1,1,0,0,0,7
863,2009,160000,70000,2,1,0,2,1,37
864,2007,100000,80000,0,1,0,2,0,12
865,2014,390000,110000,1,1,0,1,0,7
866,2017,400000,50000,0,1,0,0,1,31
867,2018,509999,5000,0,1,0,0,4,53
868,2008,150000,90000,0,1,0,2,1,27
869,2009,110000,120000,0,1,0,0,1,29
870,2013,450000,80000,1,1,0,0,14,147
871,2017,400000,38000,0,1,0,1,1,31
872,2009,140000,120000,0,1,0,0,1,29
873,2011,130000,90000,1,1,0,0,4,52
874,2017,160000,50000,0,1,0,0,0,3
875,2016,150000,60000,0,1,0,0,0,3
876,2013,500000,100000,1,1,0,1,12,120
877,2011,40000,19000,0,1,0,0,4,55
878,2006,140000,200000,1,1,0,2,5,74
879,2015,227000,70000,1,1,0,1,12,130
880,2011,285000,50000,1,1,0,1,0,7
881,2012,155000,19077,0,1,0,1,0,3
882,2016,210000,30000,0,1,0,0,1,32
883,2009,140000,80000,0,1,0,1,0,3
884,2015,940000,128000,1,1,0,0,6,82
885,2013,750000,80000,1,1,0,0,14,145
886,2016,610000,100000,1,1,0,0,0,13
887,2015,450000,50000,1,1,0,0,14,147
888,2012,409999,56000,1,1,0,0,6,83
889,2018,100000,21302,0,1,0,0,1,32
890,2018,300000,10500,0,1,0,0,15,152
891,2013,400000,107000,1,1,0,0,12,121
892,2010,210000,60000,0,1,0,1,1,27
893,2006,90000,120000,0,1,0,1,1,29
894,2010,222000,70000,0,1,0,0,0,2
895,2015,240000,50000,0,1,0,1,0,3
896,2013,450000,70000,1,1,0,1,6,83
897,2013,450000,1000,1,0,0,1,15,151
898,2018,3800000,10000,1,0,1,0,8,94
899,2013,1580000,86000,1,0,1,0,9,102
900,2019,4950000,30000,1,0,1,0,18,117
901,2016,535000,52600,1,1,0,0,1,25
902,2012,225000,110000,0,1,0,1,0,10
903,2017,550000,19890,0,0,1,0,1,30
904,2016,670000,7104,0,2,0,0,0,7
905,2015,625000,11918,0,2,0,0,0,11
906,2017,520000,10510,0,0,1,0,1,30
907,2016,239000,41000,0,0,0,0,5,75
908,2017,2600000,47162,1,2,1,0,6,84
909,2015,750000,45974,1,2,0,0,0,15
910,2012,229999,49824,0,0,0,0,1,27
911,2013,1300000,58500,1,0,1,0,9,99
912,2005,80000,56580,0,0,0,0,1,29
913,2012,385000,52000,1,0,0,0,10,110
914,2015,760000,55340,0,2,0,0,1,23
915,2017,600000,46507,1,2,0,0,0,7
916,2013,450000,1000,1,0,0,1,15,151
917,2018,3800000,10000,1,0,1,0,8,94
918,2013,1580000,86000,1,0,1,0,9,102
919,2019,4950000,30000,1,0,1,0,18,117
920,2016,535000,52600,1,1,0,0,1,25
921,2012,225000,110000,0,1,0,1,0,10
922,2017,550000,19890,0,0,1,0,1,30
923,2016,670000,7104,0,2,0,0,0,7
924,2015,625000,11918,0,2,0,0,0,11
925,2017,520000,10510,0,0,1,0,1,30
926,2016,239000,41000,0,0,0,0,5,75
927,2017,2600000,47162,1,2,1,0,6,84
928,2015,750000,45974,1,2,0,0,0,15
929,2012,229999,49824,0,0,0,0,1,27
930,2013,1300000,58500,1,0,1,0,9,99
931,2005,80000,56580,0,0,0,0,1,29
932,2012,385000,52000,1,0,0,0,10,110
933,2015,760000,55340,0,2,0,0,1,23
934,2017,600000,46507,1,2,0,0,0,7
935,2012,735000,55300,1,0,1,0,17,166
936,2012,285000,74300,1,0,0,0,4,54
937,2010,350000,48781,0,0,0,0,3,42
938,2010,290000,87620,1,0,1,0,17,166
939,2017,890000,40219,1,0,1,0,17,167
940,2011,385000,11473,0,0,0,0,3,46
941,2017,425000,8352,0,0,0,0,0,8
942,2017,525000,9745,0,0,1,0,0,2
943,2017,550000,9748,0,0,0,0,1,30
944,2012,271000,49000,0,0,0,0,17,169
945,2018,1490000,20694,1,0,0,0,1,25
946,2015,490000,31080,0,0,0,0,1,30
947,2014,260000,37605,0,0,0,0,1,32
948,2014,455000,55850,1,0,0,0,1,24
949,2010,75000,58850,0,0,0,0,4,55
950,2015,421000,23839,0,0,0,0,6,83
951,2016,550000,54000,1,0,0,0,0,7
952,2013,330000,38000,0,0,1,0,1,27
953,2012,390000,45454,1,0,0,0,17,167
954,2015,599000,46957,1,0,1,0,10,107
955,2007,110000,60000,0,1,0,3,1,33
956,2016,250000,25000,0,1,0,0,15,152
957,2012,600000,110000,1,1,0,3,12,118
958,2008,280000,190000,1,1,0,1,13,139
959,2018,2700000,25000,1,1,1,0,9,103
960,2008,80000,90000,0,1,0,0,12,125
961,2019,350000,5000,0,1,0,0,0,3
962,2015,475000,60000,1,1,0,0,0,7
963,2020,4700000,1500,1,1,1,0,9,104
964,2018,500000,50000,1,1,0,0,0,7
965,2014,250000,120000,1,1,0,0,5,72
966,2005,100000,120000,1,1,0,1,1,37
967,2019,350000,5000,0,1,0,0,0,3
968,2014,4000000,47000,1,1,1,0,18,115
969,2017,1900000,20000,0,1,1,0,6,85
970,2005,95000,120000,0,1,0,1,1,29
971,2015,409999,58000,1,1,0,0,1,30
972,2018,1050000,35000,1,1,0,0,12,120
973,2017,320000,30000,0,1,0,0,0,3
974,2019,1000000,10000,1,1,0,0,12,124
975,2017,1770000,25000,1,1,0,0,6,82
976,2018,950000,20000,1,1,0,0,12,131
977,2018,750000,50000,1,1,0,0,0,7
978,2014,220000,42000,0,1,0,0,1,32
979,2017,1000000,50000,1,1,0,0,4,64
980,2017,660000,116000,1,1,0,0,3,45
981,2015,716000,100000,1,1,0,0,0,11
982,2015,675000,66000,0,1,0,0,0,5
983,2010,385000,110000,1,1,0,2,12,118
984,2014,325000,70000,1,1,0,0,16,163
985,2015,950000,60000,1,1,0,0,1,25
986,2007,400000,110000,1,1,1,3,13,139
987,2014,250000,25000,1,1,0,0,4,54
988,2018,4000000,68000,0,1,1,0,21,178
989,2014,210000,20000,0,1,0,0,0,3
990,2011,147000,110000,0,1,0,1,1,27
991,2018,725000,26350,1,1,0,0,0,6
992,2012,550000,90000,1,1,0,0,12,118
993,2016,475000,25000,0,1,0,0,1,31
994,2014,250000,50000,0,1,0,1,1,29
995,2006,70000,60000,0,1,0,1,4,54
996,2012,160000,70000,0,1,0,2,1,32
997,2011,1000000,90000,1,1,1,1,13,139
998,2001,68000,70000,0,1,0,0,1,29
999,2017,500000,26500,0,1,0,0,1,30
1000,2013,170000,60000,1,1,0,0,4,52
1001,2018,1300000,35000,1,1,0,0,12,118
1002,2020,1050000,10000,1,1,0,0,1,25
1003,2009,300000,15000,0,1,0,0,0,17
1004,2016,600000,25000,0,1,0,0,1,31
1005,2017,900000,50000,1,1,0,0,1,23
1006,2019,550000,25000,0,1,0,0,1,30
1007,2007,100000,52000,0,1,0,1,0,3
1008,2017,400000,15000,0,1,0,0,3,44
1009,2011,120000,20000,0,1,0,0,4,55
1010,2013,300000,90000,1,1,0,0,1,31
1011,2011,140000,60000,1,1,0,1,4,52
1012,2015,640000,23000,0,1,0,0,10,107
1013,2018,380000,22155,0,1,0,0,0,3
1014,2011,120000,20000,0,1,0,0,4,55
1015,2018,650000,70000,0,1,0,0,0,5
1016,2009,150000,60000,0,1,0,1,0,3
1017,2018,550000,35000,0,1,0,0,13,136
1018,2012,650000,71042,1,0,0,0,12,120
1019,2012,1025000,167870,1,0,0,1,20,176
1020,2011,195000,133564,1,0,0,0,13,137
1021,2018,3800000,10000,1,0,1,0,8,94
1022,2013,1490000,40000,1,0,1,0,18,113
1023,2019,4950000,30000,1,0,1,0,18,117
1024,2018,1140000,23038,0,2,1,0,3,42
1025,2011,95000,70000,1,1,0,0,5,75
1026,2017,3050000,30000,1,1,1,0,18,113
1027,2017,550000,19890,0,0,1,0,1,30
1028,2015,625000,11918,0,2,0,0,0,11
1029,2017,520000,10510,0,0,1,0,1,30
1030,2016,239000,41000,0,0,0,0,5,75
1031,2017,2600000,47162,1,2,1,0,6,84
1032,2012,229999,49824,0,0,0,0,1,27
1033,2013,1300000,58500,1,0,1,0,9,99
1034,2017,585000,43608,0,2,0,0,0,13
1035,2018,825000,11212,0,2,1,0,0,13
1036,2013,280000,52000,1,0,0,0,1,31
1037,2016,725000,49217,0,2,0,0,0,13
1038,2015,300000,90000,1,1,0,0,12,130
1039,2015,375000,70000,0,1,0,0,1,24
1040,2003,310000,90000,0,1,0,3,3,42
1041,2011,375000,190000,1,1,0,2,0,7
1042,2016,1950000,106000,1,1,1,0,13,139
1043,2012,400000,80000,1,1,0,1,4,66
1044,2014,550000,80000,1,1,0,1,14,145
1045,2018,270000,20000,0,1,0,0,0,8
1046,2012,555000,110000,1,1,0,1,0,11
1047,2013,500000,60000,1,1,0,1,13,140
1048,2010,400000,130000,1,1,1,1,10,110
1049,2017,280000,28838,0,1,0,0,1,32
1050,2008,80000,200000,0,1,0,0,4,54
1051,2006,55000,100000,1,1,0,0,4,54
1052,2014,250000,50000,0,1,0,0,0,3
1053,2010,250000,190000,1,1,0,3,12,121
1054,2007,95000,100000,1,1,0,1,12,119
1055,2014,725000,135000,1,1,0,1,12,118
1056,2015,320000,50000,1,1,0,2,12,121
1057,2014,1200000,135000,1,1,1,2,10,111
1058,2012,160000,50000,1,1,0,0,5,75
1059,2018,790000,19571,1,0,0,0,3,46
1060,2018,1200000,29600,0,0,0,0,3,42
1061,2011,175000,70000,0,1,0,0,0,7
1062,2018,950000,15000,1,1,1,0,0,6
1063,2019,340000,50000,0,1,0,0,0,4
1064,2017,825000,13500,1,1,0,0,15,156
1065,2018,3100000,22000,0,1,1,0,9,102
1066,2018,780000,25000,1,0,0,0,3,41
1067,2010,350000,80000,0,1,1,2,6,81
1068,2018,690000,39000,0,0,0,0,3,41
1069,2016,245000,60000,0,1,0,0,0,3
1070,2018,790000,49000,1,0,0,0,3,41
1071,2018,680000,48600,0,0,0,0,3,41
1072,2017,540000,20000,0,1,0,1,1,30
1073,2016,425000,25000,0,1,0,0,12,128
1074,2008,140000,120000,0,1,0,0,0,12
1075,2019,1100000,30000,1,1,0,0,0,11
1076,2015,715000,35000,1,1,0,0,15,155
1077,2013,1580000,86000,1,0,1,0,9,102
1078,2015,1750000,127643,1,0,1,0,9,103
1079,2018,400000,54000,0,0,0,1,4,58
1080,2014,1750000,102354,1,0,1,0,9,99
1081,2014,1850000,62237,0,0,1,0,9,98
1082,2005,114999,90000,0,0,0,1,1,29
1083,2018,950000,21394,1,0,0,0,13,135
1084,2015,310000,32686,0,0,0,0,2,40
1085,2006,575000,1001,1,0,0,0,12,119
1086,2017,490000,22000,1,0,0,0,15,154
1087,2017,480000,53261,0,0,0,0,1,30
1088,2016,3500000,53000,1,0,1,0,21,178
1089,2018,370000,10000,0,0,0,0,15,152
1090,2017,835000,14000,1,0,0,0,0,13
1091,2017,650000,44000,0,0,0,0,17,169
1092,2014,670000,39895,1,0,0,0,6,83
1093,2017,950000,73000,1,0,1,0,5,76
1094,2014,690000,17000,0,0,0,0,3,42
1095,2017,670000,18591,0,0,0,0,17,169
1096,2017,925000,26766,1,0,0,0,4,57
1097,2015,250000,30000,0,1,0,0,1,32
1098,2016,509999,42000,1,1,0,0,4,59
1099,2014,520000,110000,1,1,0,0,3,42
1100,2005,100000,100000,1,1,0,0,4,54
1101,2006,85000,300000,1,1,0,1,4,54
1102,2009,130000,110000,1,1,0,2,4,52
1103,2018,950000,27620,1,0,0,0,13,135
1104,2015,450000,70000,0,1,0,0,13,136
1105,2012,320000,50000,0,1,0,1,3,42
1106,2015,480000,50000,1,1,0,0,0,7
1107,2014,2490000,46000,1,1,1,0,8,90
1108,2012,790000,82000,1,1,0,0,6,82
1109,2016,120000,120000,0,1,0,0,0,9
1110,2006,75000,80000,0,1,0,2,0,3
1111,2010,99000,70000,0,1,0,0,4,54
1112,2018,1015000,20000,1,1,0,0,0,15
1113,2013,250000,200000,1,1,0,1,12,122
1114,2011,520000,120000,1,1,0,0,6,82
1115,2018,1100000,30000,1,1,1,0,1,23
1116,2005,200000,223000,1,1,0,0,6,82
1117,2016,525000,60000,1,1,0,0,0,7
1118,2016,500000,40000,0,1,0,0,1,31
1119,2016,675000,161327,1,1,0,0,12,118
1120,2009,150000,60000,0,1,0,2,1,27
1121,2007,250000,50000,1,1,0,0,12,121
1122,2018,450000,6000,0,1,0,0,1,30
1123,2009,150000,68000,0,1,0,1,1,29
1124,2012,200000,85000,1,1,0,0,5,75
1125,2011,525000,70000,1,1,1,0,12,118
1126,1999,60000,35000,0,1,0,1,0,14
1127,2010,180000,100000,1,1,0,1,0,7
1128,2015,475000,110000,1,1,0,0,3,41
1129,2010,380000,195000,1,1,1,1,12,118
1130,2015,285000,46000,0,1,0,1,0,3
1131,2008,91200,60000,0,1,0,1,0,3
1132,2017,250000,46000,0,1,0,0,2,39
1133,2015,400000,42000,1,1,0,0,1,30
1134,2006,160000,90000,0,1,1,1,1,29
1135,2012,650000,85000,1,1,0,1,10,109
1136,2012,409999,120000,1,1,0,2,1,23
1137,2013,425000,72000,1,1,0,0,13,140
1138,2013,250000,71000,2,1,0,1,0,2
1139,2009,200000,110000,0,1,0,3,0,7
1140,2013,250000,71000,2,1,0,1,0,2
1141,2010,130000,144000,1,1,0,3,17,169
1142,2017,260000,30000,0,0,0,0,0,8
1143,2007,155000,65000,0,0,0,0,1,23
1144,2015,450000,38000,1,1,0,0,3,46
1145,2012,220000,90000,0,1,0,1,0,10
1146,2018,650000,37000,1,0,0,0,1,31
1147,2018,285000,30000,0,0,0,0,0,3
1148,2018,725000,26000,0,0,1,0,3,41
1149,2016,625000,30000,0,0,0,0,0,5
1150,2016,550000,23000,0,0,0,0,1,31
1151,2012,240000,40000,0,0,0,0,1,27
1152,2014,600000,27000,1,0,0,0,14,145
1153,2012,350000,65000,1,0,0,0,4,63
1154,2015,245000,32000,0,0,0,0,1,32
1155,2016,600000,56000,1,0,0,0,12,121
1156,2017,2400000,30000,1,1,1,0,18,114
1157,2014,620000,80000,1,0,0,0,12,118
1158,2014,395000,52000,0,0,0,1,0,7
1159,2014,635000,13250,0,0,0,0,0,11
1160,2011,180000,36000,0,0,0,0,0,3
1161,2015,484999,73000,1,0,0,1,0,7
1162,2004,110000,60000,0,1,0,0,0,3
1163,2006,150000,60000,0,1,0,1,0,2
1164,2012,400000,110000,1,1,0,0,5,74
1165,2012,200000,70000,1,1,0,1,4,54
1166,2013,302000,60000,1,1,0,1,15,151
1167,2011,215000,90000,1,1,0,3,0,7
1168,2004,155000,80000,0,1,0,1,0,2
1169,2014,1000000,101000,1,1,0,1,6,82
1170,2018,550000,44000,1,1,0,0,12,121
1171,2006,200000,45000,0,1,0,0,0,7
1172,2017,750000,120000,1,1,0,0,12,118
1173,2005,90000,90000,0,1,0,1,0,12
1174,2007,80000,120000,0,1,0,1,0,2
1175,2013,229999,13500,0,1,0,0,1,32
1176,2017,350000,10000,0,1,0,0,15,152
1177,2015,325000,25000,0,1,0,2,1,30
1178,2018,450000,8500,0,1,0,0,4,53
1179,2012,250000,120000,1,1,0,0,0,10
1180,2012,225000,120000,1,1,0,0,17,169
1181,2009,150000,90246,0,1,0,2,0,3
1182,2008,110000,90000,0,1,0,1,0,3
1183,2010,150000,40000,0,1,0,1,0,3
1184,2000,165000,60000,0,1,0,3,0,19
1185,2017,610000,32000,1,1,0,1,15,151
1186,2013,170000,60400,1,1,0,0,4,61
1187,2008,150000,70950,1,1,0,1,1,23
1188,2013,300000,90000,1,1,0,0,1,31
1189,2015,375000,72000,1,1,0,0,1,24
1190,2013,390000,90000,1,1,0,0,0,7
1191,2017,600000,10000,0,1,0,0,1,31
1192,2014,204999,25000,0,1,0,1,0,3
1193,2009,270000,80000,1,1,0,1,1,23
1194,2017,375000,10000,0,1,0,0,1,30
1195,2020,700000,1100,0,1,0,0,0,13
1196,2017,455000,40000,0,1,0,0,0,7
